Orthogroup	apple_prot	fruticosa_prot	peach_prot	subA___prot	subA_prot	subB_prot	sweet_cherry_prot	Total
OG0000476	4	10	5	2	3	3	4	31
OG0000477	4	10	4	4	3	3	3	31
OG0000478	3	11	3	3	5	3	3	31
OG0000479	3	12	1	2	4	4	5	31
OG0000480	8	7	5	2	2	3	4	31
OG0000481	4	4	2	0	1	1	19	31
OG0000482	4	10	3	2	3	4	5	31
OG0000483	5	8	4	4	4	3	3	31
OG0000484	2	12	3	2	3	3	6	31
OG0000485	4	10	3	4	2	4	4	31
OG0000486	3	13	3	5	3	3	1	31
OG0000487	1	1	5	6	9	7	2	31
OG0000488	2	8	3	4	4	0	10	31
OG0000489	3	8	11	2	2	3	2	31
OG0000490	2	10	5	3	4	4	3	31
OG0000491	4	6	4	5	3	5	4	31
OG0000492	2	11	5	4	3	2	4	31
OG0000493	0	13	3	10	0	2	3	31
OG0000494	0	30	0	0	0	0	1	31
OG0000495	0	16	0	1	4	6	4	31
OG0000496	0	30	0	0	0	1	0	31
OG0000497	0	17	0	0	0	0	14	31
OG0000498	0	24	3	0	1	3	0	31
OG0000499	0	29	0	0	0	0	2	31
OG0000500	0	13	4	10	1	3	0	31
OG0000501	0	11	4	2	5	4	5	31
OG0000502	0	0	0	1	0	0	30	31
OG0000503	3	7	4	3	4	5	4	30
OG0000504	5	10	3	3	3	4	2	30
OG0000505	2	3	6	5	3	6	5	30
OG0000506	14	3	2	3	4	3	1	30
OG0000507	5	10	2	2	2	4	5	30
OG0000508	5	9	4	3	3	4	2	30
OG0000509	3	13	2	1	3	2	6	30
OG0000510	5	12	3	3	2	3	2	30
OG0000511	3	5	6	6	4	1	5	30
OG0000512	3	15	1	1	4	1	5	30
OG0000513	3	11	3	4	3	4	2	30
OG0000514	2	12	4	4	1	4	3	30
OG0000515	5	11	3	2	2	2	5	30
OG0000516	2	15	2	4	3	3	1	30
OG0000517	1	8	4	2	3	7	5	30
OG0000518	5	6	6	2	0	2	9	30
OG0000519	3	10	4	3	1	1	8	30
OG0000520	6	10	3	2	3	4	2	30
OG0000521	1	14	2	4	4	3	2	30
OG0000522	2	7	5	3	1	5	7	30
OG0000523	3	14	4	4	2	3	0	30
OG0000524	2	3	7	2	6	5	5	30
OG0000525	0	19	0	3	3	1	4	30
OG0000526	0	9	3	4	3	4	7	30
OG0000527	0	15	5	2	3	3	2	30
OG0000528	0	0	0	0	0	0	30	30
OG0000529	10	0	2	2	8	7	0	29
OG0000530	29	0	0	0	0	0	0	29
OG0000531	3	6	4	4	4	4	4	29
OG0000532	29	0	0	0	0	0	0	29
OG0000533	2	11	5	3	3	3	2	29
OG0000534	20	7	0	1	0	0	1	29
OG0000535	29	0	0	0	0	0	0	29
OG0000536	17	5	2	1	2	1	1	29
OG0000537	29	0	0	0	0	0	0	29
OG0000538	2	10	3	3	5	3	3	29
OG0000539	8	3	5	1	3	4	5	29
OG0000540	1	10	3	5	3	4	3	29
OG0000541	6	10	3	3	2	3	2	29
OG0000542	5	9	3	3	3	3	3	29
OG0000543	5	11	3	3	3	3	1	29
OG0000544	6	11	1	3	3	1	4	29
OG0000545	1	8	4	5	3	4	4	29
OG0000546	2	6	4	5	2	5	5	29
OG0000547	3	10	4	3	3	3	3	29
OG0000548	2	8	4	4	4	4	3	29
OG0000549	17	8	0	0	1	0	3	29
OG0000550	2	10	4	3	3	5	2	29
OG0000551	3	8	1	1	5	9	2	29
